,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,renovation,lat,long,yr_built
0,221900.0,3,1.0,1180,5650,1.0,No,No,3,7,No,47.5112,-122.257,1955
1,538000.0,3,2.25,2570,7242,2.0,No,No,3,7,Yes,47.721000000000004,-122.319,1951
2,180000.0,2,1.0,770,10000,1.0,No,No,3,6,No,47.7379,-122.23299999999999,1933
3,604000.0,4,3.0,1960,5000,1.0,No,No,5,7,No,47.5208,-122.39299999999999,1965
4,510000.0,3,2.0,1680,8080,1.0,No,No,3,8,No,47.6168,-122.045,1987
5,1225000.0,4,4.5,5420,101930,1.0,No,No,3,11,No,47.6561,-122.005,2001
6,257500.0,3,2.25,1715,6819,2.0,No,No,3,7,No,47.3097,-122.32700000000001,1995
7,291850.0,3,1.5,1060,9711,1.0,No,No,3,7,No,47.4095,-122.315,1963
8,229500.0,3,1.0,1780,7470,1.0,No,No,3,7,No,47.5123,-122.337,1960
9,323000.0,3,2.5,1890,6560,2.0,No,No,3,7,No,47.3684,-122.031,2003
10,662500.0,3,2.5,3560,9796,1.0,No,No,3,8,No,47.6007,-122.145,1965
11,468000.0,2,1.0,1160,6000,1.0,No,No,4,7,No,47.69,-122.292,1942
12,310000.0,3,1.0,1430,19901,1.5,No,No,4,7,No,47.7558,-122.229,1927
13,400000.0,3,1.75,1370,9680,1.0,No,No,4,7,No,47.6127,-122.045,1977
14,530000.0,5,2.0,1810,4850,1.5,No,No,3,7,No,47.67,-122.39399999999999,1900
15,650000.0,4,3.0,2950,5000,2.0,No,Yes,3,9,No,47.5714,-122.375,1979
16,395000.0,3,2.0,1890,14040,2.0,No,No,3,7,No,47.7277,-121.962,1994
17,485000.0,4,1.0,1600,4300,1.5,No,No,4,7,No,47.6648,-122.34299999999999,1916
18,189000.0,2,1.0,1200,9850,1.0,No,No,4,7,No,47.3089,-122.21,1921
19,230000.0,3,1.0,1250,9774,1.0,No,No,4,7,No,47.3343,-122.306,1969
20,385000.0,4,1.75,1620,4980,1.0,No,No,4,7,No,47.7025,-122.34100000000001,1947
21,2000000.0,3,2.75,3050,44867,1.0,No,Yes,3,9,No,47.5316,-122.23299999999999,1968
22,285000.0,5,2.5,2270,6300,2.0,No,No,3,8,No,47.3266,-122.169,1995
23,252700.0,2,1.5,1070,9643,1.0,No,No,3,7,No,47.3533,-122.166,1985
24,329000.0,3,2.25,2450,6500,2.0,No,No,4,8,No,47.3739,-122.17200000000001,1985
25,233000.0,3,2.0,1710,4697,1.5,No,No,5,6,No,47.3048,-122.21799999999999,1941
26,937000.0,3,1.75,2450,2691,2.0,No,No,3,8,No,47.6386,-122.36,1915
27,667000.0,3,1.0,1400,1581,1.5,No,No,5,8,No,47.6221,-122.314,1909
28,438000.0,3,1.75,1520,6380,1.0,No,No,3,7,No,47.695,-122.304,1948
29,719000.0,4,2.5,2570,7173,2.0,No,No,3,8,No,47.7073,-122.11,2005
30,580500.0,3,2.5,2320,3980,2.0,No,No,3,8,No,47.5391,-122.07,2003
